gender,co_city,Industry,ifdisc,DiscTypesMeet,resType,disc_think,DiscThinkTypes,4.Please select the specific category in which your job falls within the finance industry (请选择您的工作在金融行业中的具体类别),5.Please select the specific category in which your job falls within the Internet industry (请选择您的工作在互联网行业中的具体类别),Finance_type,Internet_type
female,Hangzhou,Finance,Yes,"Age, Education",Ask for help,Yes,"Gender, Education",B.银行类（银行柜员、银行销售、信审、信用卡、贷款、汽车金融等）,,B,
male,Shenzhen,Finance,Yes,Gender,No action,Unsure,,C.保险类（财产保险、保险内勤、理赔、精算师、保险销售、理财顾问、查勘定损、车险等）,,C,
male,Beijing,Finance,No,,No action,No,,B.银行类（银行柜员、银行销售、信审、信用卡、贷款、汽车金融等）,,B,
female,Shenzhen,Internet,Yes,"Age, Health",Ask for help,No,,,B.设计类（UI设计师、美工等）,,B
male,Shenzhen,Internet,Yes,"Age, Education",No action,Yes,"Age, Health",,F.运营类（新媒体运营、运营专员、淘宝运营、天猫运营、淘宝客服、游戏运营等）,,F
female,Beijing,Internet,Yes,"Gender, Health",Other,Unsure,,,E.产品类（产品经理、产品助理、产品运营等）,,E
female,Beijing,Internet,Yes,"Age, Education",Ask for help,Yes,"Age, Health",,F.运营类（新媒体运营、运营专员、淘宝运营、天猫运营、淘宝客服、游戏运营等）,,F
female,Shenzhen,Internet,Yes,"Age, Health",No action,Yes,"Gender, Age",,F.运营类（新媒体运营、运营专员、淘宝运营、天猫运营、淘宝客服、游戏运营等）,,F
male,Shenzhen,Internet,Yes,Age ,No action,Yes,"Age, Education",,F.运营类（新媒体运营、运营专员、淘宝运营、天猫运营、淘宝客服、游戏运营等）,,F
female,Shenzhen,Finance,Yes,Age ,No action,Yes,"Gender, Education, Health",B.银行类（银行柜员、银行销售、信审、信用卡、贷款、汽车金融等）,,B,
female,Hangzhou,Internet,No,,Ask for help,Unsure,,,B.设计类（UI设计师、美工等）,,B
female,Guangzhou,Finance,Yes,"Gender, Health",Ask for help,No,,A.投资类（投资经理、风控、催收、证券、交易员、期货、操盘手、基金、股票、投资顾问、信托、典当、担保、权证等）,,A,
female,Beijing,Internet,No,,Ask for help,Yes,"Gender, Age",,B.设计类（UI设计师、美工等）,,B
female,Shanghai,Finance,No,,No action,Yes,"Gender, Age, Health",B.银行类（银行柜员、银行销售、信审、信用卡、贷款、汽车金融等）,,B,
